name;ort;x;y
59603264;matsimNetworkNode;735158.78;5699796.819999999
59603262;matsimNetworkNode;734927.51;5699745.1
270707067;matsimNetworkNode;734465.15;5698258.99
3093019166;matsimNetworkNode;734624.74;5700060.42
59603268;matsimNetworkNode;735137.46;5699649.63
59603267;matsimNetworkNode;734985.5700000001;5699825.859999999
270707065;matsimNetworkNode;734535.75;5698304.319999999
59603266;matsimNetworkNode;735072.5900000001;5699738.8
59603265;matsimNetworkNode;734989.89;5699682.7299999995
6527908228;matsimNetworkNode;732231.66;5698784.1
6527908224;matsimNetworkNode;732244.13;5698733.3
256944653;matsimNetworkNode;734245.91;5699363.85
cluster_262382577_262680886;matsimNetworkNode;731067.55;5698561.51
2587885170;matsimNetworkNode;734907.51;5698796.49
276830088;matsimNetworkNode;731055.53;5697842.819999999
319064291;matsimNetworkNode;734069.53;5699972.46
4807072162;matsimNetworkNode;731870.8500000001;5698453.35
31950738;matsimNetworkNode;735965.73;5699143.31
4807072161;matsimNetworkNode;731875.54;5698423.109999999
165206211;matsimNetworkNode;735768.6100000001;5699719.06
3840389883;matsimNetworkNode;731441.31;5697622.12
2136714155;matsimNetworkNode;731844.63;5697399.819999999
82688110;matsimNetworkNode;731258.9;5696968.24
cluster_2587885154_4585250847;matsimNetworkNode;735386.38;5699206.74
270707232;matsimNetworkNode;734490.56;5698444.33
309247851;matsimNetworkNode;730848.23;5697776.26
cluster_317670326_4807018906;matsimNetworkNode;732911.2;5700179.149999999
294925787;matsimNetworkNode;731760.88;5698108.1899999995
cluster_6384906954_6384906955;matsimNetworkNode;731873.43;5698438.51
165156263;matsimNetworkNode;735706.87;5699704.71
256944664;matsimNetworkNode;734393.3600000001;5699322.39
4494216775;matsimNetworkNode;731466.69;5697290.55
cluster_2166018886_4798784381;matsimNetworkNode;731888.26;5698342.1
270746811;matsimNetworkNode;735290.0700000001;5699343.72
4710983104;matsimNetworkNode;733142.67;5697874.199999999
262686732;matsimNetworkNode;732177.37;5698575.56
2587885158;matsimNetworkNode;734897.24;5699011.5
79830587;matsimNetworkNode;733902.25;5698280.449999999
262686734;matsimNetworkNode;732053.44;5698556.069999999
319067424;matsimNetworkNode;733940.46;5698612.29
59973373;matsimNetworkNode;731313.43;5696728.16
59973374;matsimNetworkNode;731361.75;5697140.81
954729825;matsimNetworkNode;732197.9;5699137.22
283699292;matsimNetworkNode;734364.6000000001;5700085.9799999995
93809972;matsimNetworkNode;732228.8;5698982.12
93809971;matsimNetworkNode;732211.51;5698977.359999999
566285833;matsimNetworkNode;736054.24;5699549.71
319062099;matsimNetworkNode;734586.29;5700201.81
31934392;matsimNetworkNode;734770.43;5699231.449999999
31036070;matsimNetworkNode;736121.62;5700111.68
3282493119;matsimNetworkNode;732226.8600000001;5699969.819999999
313054164;matsimNetworkNode;734019.8600000001;5698110.699999999
cluster_1294780283_1294780304_1390346817_2587885195_#2more;matsimNetworkNode;734885.27;5698783.01
270746722;matsimNetworkNode;735372.12;5699281.26
262681199;matsimNetworkNode;731161.93;5698591.17
4806146363;matsimNetworkNode;732386.43;5698508.08
262381572;matsimNetworkNode;730935.14;5697880.9799999995
1390346806;matsimNetworkNode;734902.65;5698761.62
165206208;matsimNetworkNode;735759.68;5699695.42
3095941259;matsimNetworkNode;734501.74;5699865.04
3253557151;matsimNetworkNode;737521.28;5700807.27
31036066;matsimNetworkNode;735980.06;5699883.97
385297659;matsimNetworkNode;734328.4;5699325.52
319070802;matsimNetworkNode;734649.72;5699314.819999999
96621510;matsimNetworkNode;734426.3500000001;5698485.39
671494894;matsimNetworkNode;731617.05;5697446.67
3802456420;matsimNetworkNode;731284.95;5697202.34
1362031028;matsimNetworkNode;736182.3600000001;5699771.029999999
256944649;matsimNetworkNode;733456.05;5699073.85
96621503;matsimNetworkNode;734566.1100000001;5698470.6899999995
96621505;matsimNetworkNode;734448.71;5698429.79
1362031025;matsimNetworkNode;736281.46;5699771.55
256944644;matsimNetworkNode;732768.23;5698952.76
cluster_145966050_145966054;matsimNetworkNode;734812.98;5698882.62
177223042;matsimNetworkNode;732421.51;5696785.449999999
cluster_313053323_313053325;matsimNetworkNode;734665.17;5698193.38
262381581;matsimNetworkNode;731264.81;5697778.46
270698818;matsimNetworkNode;735551.95;5698532.89
4121757373;matsimNetworkNode;734357.2;5697973.3
954729886;matsimNetworkNode;732183.1100000001;5698544.609999999
4798787466;matsimNetworkNode;732068.78;5698558.359999999
5163299285;matsimNetworkNode;732120.42;5697533.81
268659276;matsimNetworkNode;732814.45;5697785.59
cluster_317672616_332473553;matsimNetworkNode;731447.77;5698109.63
261706031;matsimNetworkNode;732477.24;5696793.02
261706032;matsimNetworkNode;732467.75;5696822.84
165155708;matsimNetworkNode;735306.98;5699714.529999999
2359931584;matsimNetworkNode;733708.87;5697813.54
2570665951;matsimNetworkNode;736761.28;5699847.9799999995
261706150;matsimNetworkNode;732438.0800000001;5697106.1
430080787;matsimNetworkNode;731241.12;5698614.08
270746465;matsimNetworkNode;735356.72;5699368.83
59603793;matsimNetworkNode;735837.19;5699106.029999999
6545856687;matsimNetworkNode;734337.24;5698432.6899999995
260624685;matsimNetworkNode;731556.12;5698802.05
33600056;matsimNetworkNode;735924.8;5699169.649999999
675610040;matsimNetworkNode;734352.97;5698110.87
94040244;matsimNetworkNode;733193.05;5698526.649999999
283699261;matsimNetworkNode;734649.3300000001;5700254.49
2841902111;matsimNetworkNode;732193.8600000001;5699967.399999999
2683229218;matsimNetworkNode;734797.14;5699163.92
671494993;matsimNetworkNode;731632.5800000001;5697500.39
262380276;matsimNetworkNode;731103.3500000001;5698293.109999999
312170693;matsimNetworkNode;737404.6100000001;5700255.58
317666966;matsimNetworkNode;732388.8500000001;5699984.91
319067987;matsimNetworkNode;734055.4;5698496.04
59751455;matsimNetworkNode;731187.95;5696982.39
59751454;matsimNetworkNode;731148.78;5696781.92
