Stop ID,Link ID,X,Y
7619712468,24225274#0,733243.48,5693876.18
cluster_1975895435_269678187,-146395943,729292.8400000001,5689482.68
1526145307,387621602#1,742009.44,5686380.21
60021953,548515256,733086.41,5690269.63
60464359,8075772#2,728918.8500000001,5693851.02
49548896,-6015395#0,734494.78,5691177.16
60464358,8022899#0,728879.46,5693849.149999999
60021951,8089401#1,732974.8200000001,5690470.899999999
60592572,-32955641,732186.95,5690811.109999999
60021952,-100307820,733026.44,5690289.75
60464356,8075772#0,728843.14,5693846.8
60464355,713301042#1,728842.05,5693894.21
60464354,713301042#6,729044.26,5693905.9399999995
60592571,-924778629,732230.3400000001,5690930.71
60021955,8089412#1,733115.8,5690115.199999999
122032003,13228178,734353.6100000001,5695329.47
60021956,8089413#0,733100.3500000001,5689888.4399999995
298280909,27184353#0,730212.76,5696859.34
60592569,8087977,731584.8600000001,5691307.43
60592568,308823376#1,731603.14,5691438.38
270694741,24912360,735489.67,5698209.4799999995
294925952,-26859588#0,731853.16,5697293.71
1496537508,-376842781#0,736406.21,5696385.79
286740718,177082631,743448.27,5691368.2299999995
313582800,28547169#0,741803.0900000001,5702450.399999999
294925958,-203511252,731846.3500000001,5697524.109999999
26652354,172773101#1,738185.94,5690287.35
2622205462,22717760#5,727660.78,5693703.279999999
269678125,291616684#0,727306.31,5689176.149999999
1067912966,18764004,728815.88,5682780.34
197751922,942815366,735292.43,5692387.71
439214554,37521824,733093.3200000001,5694134.149999999
3780936465,-374714878#0,735011.91,5691759.5
cluster_25933065_30308499,-4779327,735154.65,5693384.449999999
192313574,18641142,738040.5900000001,5693727.54
cluster_255189000_278555621,1033828704#0,737866.48,5690841.59
5351890418,-314637873,733695.65,5695696.71
2201559034,169559107,735172.0800000001,5693519.08
5169659079,532786044,740858.52,5687243.75
8735460020,-943434861,736372.42,5699000.29
417266407,35602422,735071.65,5690001.779999999
417266406,-132431956#0,734980.22,5689999.1899999995
9492785415,102925166,744271.28,5690895.22
165253107,-448052266,738553.78,5699916.81
340116538,-4248645,733655.42,5692100.54
30580975,-25556344,737544.8500000001,5690848.56
298862756,120356329#3,735735.5800000001,5695391.49
30580978,672750601,737584.56,5690742.66
144226078,-14626036,737746.6100000001,5693031.279999999
31950241,4742339#0,736960.02,5697647.17
942862956,-80883499#2,729681.51,5696949.37
952074481,-1033828707,737910.89,5690945.18
2963360296,292800066,732732.06,5699877.33
215172909,14370497#1,734646.5800000001,5694575.08
291585171,251388157#3,739817.15,5688276.43
439214574,-85145229,732882.21,5694170.029999999
1116870731,14571846#0,738893.95,5694997.14
cluster_315366112_315366883,-1055006264#1,727078.3,5691054.46
18346332,4549280,731071.13,5691857.38
3149696137,23249326#0,727987.21,5689430.859999999
296456267,-27047986,738829.8300000001,5690438.97
270694728,24912359,735596.8400000001,5698239.77
3239710367,337039704,737814.13,5693735.39
30580964,130038073#1,737491.87,5690877.08
1247297520,991528898,732496.78,5694048.05
30580966,1033828705,737858.73,5690944.76
312171319,28418166#1,737569.55,5700764.16
cluster_264624627_30710240,24369976#2,735750.47,5693380.27
384751085,9942767,745086.55,5694056.27
312171315,28418166#0,737542.93,5700835.68
27545617,104024505#7,737809.91,5697848.819999999
26652367,4370994#0,738410.5700000001,5690075.99
313582802,-24454629,741718.8300000001,5702401.09
277238187,-25438626,729217.62,5690794.31
370807212,32927562#0,742744.03,5692523.75
27545613,104024505#6,737716.13,5697825.529999999
280784507,-25747608#1,734952.64,5692251.01
1487934554,-135476460,735059.52,5699245.49
cluster_12277051_2536311207,2708620,736839.68,5695882.109999999
1629764611,150039898#5,728021.76,5688622.41
3368192319,319686979,741888.55,5694132.89
298726074,-27220793,727752.31,5697603.6899999995
cluster_2688626866_2688626867_303754516,-263240047#0,729552.26,5700689.96
288139639,26302332#0,743132.16,5693650.54
6020854175,-759649498,735635.27,5696635.35
251565227,23249225#1,727877.68,5688415.949999999
3161364769,-310679053#0,730535.87,5685133.88
288139640,-26302332#4,743337.64,5693664.38
cluster_1197261911_31036074,158203752,736587.28,5699756.109999999
3663294897,33633052#0,742815.94,5693231.99
1629764604,-226907891#0,728067.9,5688506.2299999995
197761372,376768575,735853.01,5692785.5
146075981,125111075,735100.71,5694949.99
1487934559,-135476459,735115.89,5699272.5
294161211,26815731#0,731502.78,5687946.43
294161213,285573737#2,731684.8,5687915.35
cluster_1834068508_2938209047,102323023#0,739175.8500000001,5689377.67
5368192480,37932223,726409.8600000001,5690258.899999999
7010811233,-245488111#1,740468.13,5698919.63
288138321,-26302145#0,742159.96,5693059.399999999
211186479,20019787#2,733682.42,5695055.97
1454016371,-25142192,729126.0700000001,5700863.1899999995
26652331,172773101#0,738241.3300000001,5690237.09
4409679796,-640656660,731330.05,5697247.7299999995
97612026,-10951304#0,734010.3400000001,5695653.4799999995
6057589005,133509388,734912.6100000001,5690662.949999999
3210024176,27917489,732149.53,5692686.34
1116870770,-296659731,738809.15,5694992.27
26652337,26657311#2,738307.38,5690309.4799999995
1639290456,761248450,742344.74,5688287.4399999995
